candidate_key,left_source_dataset,left_source_project_id,left_project_name,right_source_dataset,right_source_project_id,right_project_name,similarity_score,decision,reviewer_notes
budget_paper::BUD-A626D1B998||project_register::PRJ-0029,project_register,PRJ-0029,Future Fleet Program,budget_paper,BUD-A626D1B998,Future Fleet Program (Planning),0.8163,pending,
budget_paper::BUD-A626D1B998||project_timeline::TFNSW-0102,project_timeline,TFNSW-0102,Future Fleet Program,budget_paper,BUD-A626D1B998,Future Fleet Program (Planning),0.8163,pending,
budget_paper::BUD-4B5A1D8FEB||project_register::PRJ-0071,project_register,PRJ-0071,Parramatta Light Rail Stage 2 Main Works,budget_paper,BUD-4B5A1D8FEB,Parramatta Light Rail Stage 1,0.8116,pending,
budget_paper::BUD-4B5A1D8FEB||project_timeline::TFNSW-0051,project_timeline,TFNSW-0051,Parramatta Light Rail Stage 2 Main Works,budget_paper,BUD-4B5A1D8FEB,Parramatta Light Rail Stage 1,0.8116,pending,
project_register::PRJ-0073||project_timeline::TFNSW-0037,project_register,PRJ-0073,Regional Corridors Upgrade Program – Euston to Tocumwal,project_timeline,TFNSW-0037,Regional Corridors Upgrade Program – Newcastle to Dubbo,0.8113,pending,
project_register::PRJ-0075||project_timeline::TFNSW-0035,project_register,PRJ-0075,Regional Corridors Upgrade Program – Newcastle to Dubbo,project_timeline,TFNSW-0035,Regional Corridors Upgrade Program – Euston to Tocumwal,0.8113,pending,
project_register::PRJ-0073||project_timeline::TFNSW-0036,project_register,PRJ-0073,Regional Corridors Upgrade Program – Euston to Tocumwal,project_timeline,TFNSW-0036,Regional Corridors Upgrade Program – Muswellbrook to Armidale,0.8036,pending,
project_register::PRJ-0074||project_timeline::TFNSW-0035,project_register,PRJ-0074,Regional Corridors Upgrade Program – Muswellbrook to Armidale,project_timeline,TFNSW-0035,Regional Corridors Upgrade Program – Euston to Tocumwal,0.8036,pending,
budget_paper::BUD-18CFA60B01||project_register::PRJ-0075,project_register,PRJ-0075,Regional Corridors Upgrade Program – Newcastle to Dubbo,budget_paper,BUD-18CFA60B01,Regional Corridors Upgrade Program - Euston to Tocumwal (d),0.7963,pending,
budget_paper::BUD-18CFA60B01||project_timeline::TFNSW-0037,project_timeline,TFNSW-0037,Regional Corridors Upgrade Program – Newcastle to Dubbo,budget_paper,BUD-18CFA60B01,Regional Corridors Upgrade Program - Euston to Tocumwal (d),0.7963,pending,
project_register::PRJ-0003||project_timeline::TFNSW-0001,project_register,PRJ-0003,Appin Road safety improvements,project_timeline,TFNSW-0001,Bells Line of Road Safety Improvements,0.7941,pending,
project_register::PRJ-0009||project_timeline::TFNSW-0059,project_register,PRJ-0009,Bells Line of Road safety improvements,project_timeline,TFNSW-0059,Appin Road Safety Improvements,0.7941,pending,
budget_paper::BUD-7988CE2B43||project_register::PRJ-0090,project_register,PRJ-0090,"The Horsley Drive, M7 Motorway to Cowpasture Road",budget_paper,BUD-7988CE2B43,"The Horsley Drive, M7 Motorway to Cowpasture Road (State and Federal Funded)",0.7934,pending,
budget_paper::BUD-7988CE2B43||project_timeline::TFNSW-0095,project_timeline,TFNSW-0095,"The Horsley Drive, M7 Motorway to Cowpasture Road",budget_paper,BUD-7988CE2B43,"The Horsley Drive, M7 Motorway to Cowpasture Road (State and Federal Funded)",0.7934,pending,
budget_paper::BUD-11D757DAAB||project_timeline::TFNSW-0107,project_timeline,TFNSW-0107,Francis Road Railway Overpass Widening at Rooty Hill,budget_paper,BUD-11D757DAAB,Francis Road Rail Overpass at Rooty Hill (Planning),0.7921,pending,
budget_paper::BUD-18CFA60B01||project_register::PRJ-0074,project_register,PRJ-0074,Regional Corridors Upgrade Program – Muswellbrook to Armidale,budget_paper,BUD-18CFA60B01,Regional Corridors Upgrade Program - Euston to Tocumwal (d),0.7895,pending,
budget_paper::BUD-18CFA60B01||project_timeline::TFNSW-0036,project_timeline,TFNSW-0036,Regional Corridors Upgrade Program – Muswellbrook to Armidale,budget_paper,BUD-18CFA60B01,Regional Corridors Upgrade Program - Euston to Tocumwal (d),0.7895,pending,
budget_paper::BUD-C0ECBBC580||project_register::PRJ-0052,project_register,PRJ-0052,"Mona Vale Road West upgrade, McCarrs Creek Road to Powder Works Road",budget_paper,BUD-C0ECBBC580,Mona Vale Road West - McCarrs Creek Road to Powder Works Road (State and Federal Funded),0.7815,pending,
budget_paper::BUD-C0ECBBC580||project_timeline::TFNSW-0071,project_timeline,TFNSW-0071,"Mona Vale Road West upgrade, McCarrs Creek Road to Powder Works Road",budget_paper,BUD-C0ECBBC580,Mona Vale Road West - McCarrs Creek Road to Powder Works Road (State and Federal Funded),0.7815,pending,
project_register::PRJ-0086||project_timeline::TFNSW-0058,project_register,PRJ-0086,Sydney Metro West - Pyrmont Integrated Station,project_timeline,TFNSW-0058,Sydney Metro West - Sydney Olympic Park Integrated Station,0.78,pending,
project_register::PRJ-0087||project_timeline::TFNSW-0057,project_register,PRJ-0087,Sydney Metro West - Sydney Olympic Park Integrated Station,project_timeline,TFNSW-0057,Sydney Metro West - Pyrmont Integrated Station,0.78,pending,
project_register::PRJ-0066||project_timeline::TFNSW-0029,project_register,PRJ-0066,"Olympic Highway, Harris Gates grade separation for Inland Rail",project_timeline,TFNSW-0029,"Newell Highway, Tichborne grade separation for Inland Rail",0.7797,pending,
project_register::PRJ-0085||project_timeline::TFNSW-0058,project_register,PRJ-0085,Sydney Metro West - Parramatta Integrated Station,project_timeline,TFNSW-0058,Sydney Metro West - Sydney Olympic Park Integrated Station,0.7767,pending,
project_register::PRJ-0087||project_timeline::TFNSW-0056,project_register,PRJ-0087,Sydney Metro West - Sydney Olympic Park Integrated Station,project_timeline,TFNSW-0056,Sydney Metro West - Parramatta Integrated Station,0.7767,pending,
budget_paper::BUD-CEEED03F65||project_register::PRJ-0045,project_register,PRJ-0045,Macquarie Park Precinct and Bus Interchange,budget_paper,BUD-CEEED03F65,Macquarie Park Precinct and Bus Interchange (State and Federal Funded),0.7748,pending,
budget_paper::BUD-CEEED03F65||project_timeline::TFNSW-0046,project_timeline,TFNSW-0046,Macquarie Park Precinct and Bus Interchange,budget_paper,BUD-CEEED03F65,Macquarie Park Precinct and Bus Interchange (State and Federal Funded),0.7748,pending,
budget_paper::BUD-AB5BF73325||project_timeline::TFNSW-0106,project_timeline,TFNSW-0106,Flushcombe Rd / Bungarribee Rd Intersection Upgrade and Francis Street Upgrade,budget_paper,BUD-AB5BF73325,Flushcombe Road & Bungarribee Road Intersection Upgrade (Planning),0.7746,pending,
budget_paper::BUD-3DBA2152A0||project_register::PRJ-0072,project_register,PRJ-0072,Picton Bypass,budget_paper,BUD-3DBA2152A0,Pitt Town Bypass(c),0.7742,pending,
budget_paper::BUD-3DBA2152A0||project_timeline::TFNSW-0034,project_timeline,TFNSW-0034,Picton Bypass,budget_paper,BUD-3DBA2152A0,Pitt Town Bypass(c),0.7742,pending,
project_register::PRJ-0063||project_timeline::TFNSW-0031,project_register,PRJ-0063,"Newell Highway, Tichborne grade separation for Inland Rail",project_timeline,TFNSW-0031,"Olympic Highway, Harris Gates grade separation for Inland Rail",0.7627,pending,
project_register::PRJ-0080||project_timeline::TFNSW-0117,project_register,PRJ-0080,Shellharbour Hospital access,project_timeline,TFNSW-0117,Shellharbour Hospital Shared User Path,0.7576,pending,
budget_paper::BUD-029B29C941||project_register::PRJ-0096,project_register,PRJ-0096,Western Sydney Heavy Vehicle Rest Area,budget_paper,BUD-029B29C941,Western Sydney Heavy Vehicle Rest Area (State and Federal Funded),0.7525,pending,
budget_paper::BUD-029B29C941||project_timeline::TFNSW-0098,project_timeline,TFNSW-0098,Western Sydney Heavy Vehicle Rest Area,budget_paper,BUD-029B29C941,Western Sydney Heavy Vehicle Rest Area (State and Federal Funded),0.7525,pending,
budget_paper::BUD-CA0145C609||project_register::PRJ-0073,project_register,PRJ-0073,Regional Corridors Upgrade Program – Euston to Tocumwal,budget_paper,BUD-CA0145C609,Regional Corridors Upgrade Program - Muswellbrook to Armidale (Phase 2),0.75,pending,
project_register::PRJ-0074||project_timeline::TFNSW-0037,project_register,PRJ-0074,Regional Corridors Upgrade Program – Muswellbrook to Armidale,project_timeline,TFNSW-0037,Regional Corridors Upgrade Program – Newcastle to Dubbo,0.75,pending,
budget_paper::BUD-CA0145C609||project_register::PRJ-0075,project_register,PRJ-0075,Regional Corridors Upgrade Program – Newcastle to Dubbo,budget_paper,BUD-CA0145C609,Regional Corridors Upgrade Program - Muswellbrook to Armidale (Phase 2),0.75,pending,
project_register::PRJ-0075||project_timeline::TFNSW-0036,project_register,PRJ-0075,Regional Corridors Upgrade Program – Newcastle to Dubbo,project_timeline,TFNSW-0036,Regional Corridors Upgrade Program – Muswellbrook to Armidale,0.75,pending,
budget_paper::BUD-CA0145C609||project_timeline::TFNSW-0035,project_timeline,TFNSW-0035,Regional Corridors Upgrade Program – Euston to Tocumwal,budget_paper,BUD-CA0145C609,Regional Corridors Upgrade Program - Muswellbrook to Armidale (Phase 2),0.75,pending,
budget_paper::BUD-CA0145C609||project_timeline::TFNSW-0037,project_timeline,TFNSW-0037,Regional Corridors Upgrade Program – Newcastle to Dubbo,budget_paper,BUD-CA0145C609,Regional Corridors Upgrade Program - Muswellbrook to Armidale (Phase 2),0.75,pending,
project_register::PRJ-0022||project_timeline::TFNSW-0082,project_register,PRJ-0022,Devonshire Link Road - Mamre Road Stage 2 to Elizabeth Drive,project_timeline,TFNSW-0082,Devonshire Road - Elizabeth Drive to Bringelly Road,0.7477,pending,
project_register::PRJ-0023||project_timeline::TFNSW-0081,project_register,PRJ-0023,Devonshire Road - Elizabeth Drive to Bringelly Road,project_timeline,TFNSW-0081,Devonshire Link Road - Mamre Road Stage 2 to Elizabeth Drive,0.7477,pending,
budget_paper::BUD-E409D02F81||project_register::PRJ-0073,project_register,PRJ-0073,Regional Corridors Upgrade Program – Euston to Tocumwal,budget_paper,BUD-E409D02F81,Regional Corridors Upgrade Program - Newcastle to Dubbo (Phase 2)(d)(f),0.7458,pending,
budget_paper::BUD-8457D20AEE||project_register::PRJ-0089,project_register,PRJ-0089,Terrigal Drive Upgrade,budget_paper,BUD-8457D20AEE,Terrigal Drive Upgrade (Federal Funded),0.7458,pending,
budget_paper::BUD-8457D20AEE||project_timeline::TFNSW-0006,project_timeline,TFNSW-0006,Terrigal Drive Upgrade,budget_paper,BUD-8457D20AEE,Terrigal Drive Upgrade (Federal Funded),0.7458,pending,
budget_paper::BUD-E409D02F81||project_timeline::TFNSW-0035,project_timeline,TFNSW-0035,Regional Corridors Upgrade Program – Euston to Tocumwal,budget_paper,BUD-E409D02F81,Regional Corridors Upgrade Program - Newcastle to Dubbo (Phase 2)(d)(f),0.7458,pending,
budget_paper::BUD-2EB349B281||project_register::PRJ-0008,project_register,PRJ-0008,Barton Highway upgrade - Stage 2,budget_paper,BUD-2EB349B281,Bruxner Highway Upgrades,0.7407,pending,
budget_paper::BUD-2EB349B281||project_timeline::TFNSW-0026,project_timeline,TFNSW-0026,Barton Highway Upgrade - Stage 2,budget_paper,BUD-2EB349B281,Bruxner Highway Upgrades,0.7407,pending,
project_register::PRJ-0081||project_timeline::TFNSW-0055,project_register,PRJ-0081,South West Sydney Rail Extensions Final Business Case,project_timeline,TFNSW-0055,Sydney Metro - Western Sydney Airport - Northern Extension Final Business Case,0.7402,pending,
project_register::PRJ-0084||project_timeline::TFNSW-0052,project_register,PRJ-0084,Sydney Metro - Western Sydney Airport - Northern Extension Final Business Case,project_timeline,TFNSW-0052,South West Sydney Rail Extensions Final Business Case,0.7402,pending,
project_register::PRJ-0005||project_timeline::TFNSW-0122,project_register,PRJ-0005,Australia Avenue intersection upgrade,project_timeline,TFNSW-0122,Thurgoona Drive Intersection Upgrade,0.7397,pending,
budget_paper::BUD-1308623375||project_register::PRJ-0059,project_register,PRJ-0059,New Bus Services for Western Sydney,budget_paper,BUD-1308623375,New Bus Services for Western Sydney (State and Federal Funded),0.7368,pending,
budget_paper::BUD-1308623375||project_timeline::TFNSW-0047,project_timeline,TFNSW-0047,New Bus Services for Western Sydney,budget_paper,BUD-1308623375,New Bus Services for Western Sydney (State and Federal Funded),0.7368,pending,
budget_paper::BUD-5A075AA97B||project_register::PRJ-0068,project_register,PRJ-0068,"Pacific Highway, Harrington Road / Coopernook Road interchange",budget_paper,BUD-5A075AA97B,"Pacific Highway - Harrington Road Intersection Upgrade, Coopernook (State and Federal Funded)",0.7347,pending,
budget_paper::BUD-5A075AA97B||project_timeline::TFNSW-0032,project_timeline,TFNSW-0032,"Pacific Highway, Harrington Road / Coopernook Road interchange",budget_paper,BUD-5A075AA97B,"Pacific Highway - Harrington Road Intersection Upgrade, Coopernook (State and Federal Funded)",0.7347,pending,
budget_paper::BUD-685DFD23F2||project_register::PRJ-0097,project_register,PRJ-0097,Windsor Road Upgrade at Rouse Hill,budget_paper,BUD-685DFD23F2,Windsor Road Upgrade at Rouse Hill (State and Federal Funded),0.7312,pending,
budget_paper::BUD-685DFD23F2||project_timeline::TFNSW-0100,project_timeline,TFNSW-0100,Windsor Road Upgrade at Rouse Hill,budget_paper,BUD-685DFD23F2,Windsor Road Upgrade at Rouse Hill (State and Federal Funded),0.7312,pending,
project_register::PRJ-0031||project_timeline::TFNSW-0091,project_register,PRJ-0031,Garfield Road Upgrade West,project_timeline,TFNSW-0091,Mamre Road Upgrade - Stage 2,0.7308,pending,
project_register::PRJ-0032||project_timeline::TFNSW-0091,project_register,PRJ-0032,Garfield Road upgrade East,project_timeline,TFNSW-0091,Mamre Road Upgrade - Stage 2,0.7308,pending,
project_register::PRJ-0047||project_timeline::TFNSW-0087,project_register,PRJ-0047,Mamre Road Upgrade - Stage 2,project_timeline,TFNSW-0087,Garfield Road Upgrade East,0.7308,pending,
project_register::PRJ-0047||project_timeline::TFNSW-0088,project_register,PRJ-0047,Mamre Road Upgrade - Stage 2,project_timeline,TFNSW-0088,Garfield Road Upgrade West,0.7308,pending,
budget_paper::BUD-0EC61A064E||project_register::PRJ-0024,project_register,PRJ-0024,Eastern Ring Road and Badgerys Creek Road (South) - Elizabeth Drive to The Northern Road,budget_paper,BUD-0EC61A064E,Eastern Ring Road and Badgerys Creek Road South (Planning) (State and Federal Funded),0.7273,pending,
budget_paper::BUD-628937EF8A||project_register::PRJ-0098,project_register,PRJ-0098,Woollahra Station Activation,budget_paper,BUD-628937EF8A,Wallerawang Train Station Reactivation,0.7273,pending,
budget_paper::BUD-628937EF8A||project_timeline::TFNSW-0042,project_timeline,TFNSW-0042,Woollahra Station Activation,budget_paper,BUD-628937EF8A,Wallerawang Train Station Reactivation,0.7273,pending,
budget_paper::BUD-0EC61A064E||project_timeline::TFNSW-0083,project_timeline,TFNSW-0083,Eastern Ring Road and Badgerys Creek Road (South) - Elizabeth Drive to The Northern Road,budget_paper,BUD-0EC61A064E,Eastern Ring Road and Badgerys Creek Road South (Planning) (State and Federal Funded),0.7273,pending,
budget_paper::BUD-B731621557||project_register::PRJ-0095,project_register,PRJ-0095,Western Sydney Freight Line and Intermodal Terminal  - Stage 1 Full Business Case,budget_paper,BUD-B731621557,Western Sydney Freight Line and Intermodal Terminal (Planning and Development) (State and Federal Funded),0.7263,pending,
budget_paper::BUD-B731621557||project_timeline::TFNSW-0054,project_timeline,TFNSW-0054,Western Sydney Freight Line and Intermodal Terminal - Stage 1 Full Business Case,budget_paper,BUD-B731621557,Western Sydney Freight Line and Intermodal Terminal (Planning and Development) (State and Federal Funded),0.7263,pending,
budget_paper::BUD-1B446EF3E4||project_register::PRJ-0070,project_register,PRJ-0070,"Pacific Highway, Wyong Town Centre",budget_paper,BUD-1B446EF3E4,"Pacific Highway, Wyong Town Centre (State and Federal Funded)",0.7253,pending,
budget_paper::BUD-1B446EF3E4||project_timeline::TFNSW-0005,project_timeline,TFNSW-0005,"Pacific Highway, Wyong Town Centre",budget_paper,BUD-1B446EF3E4,"Pacific Highway, Wyong Town Centre (State and Federal Funded)",0.7253,pending,
budget_paper::BUD-8D580420A0||project_register::PRJ-0092,project_register,PRJ-0092,Thornton bridge duplication,budget_paper,BUD-8D580420A0,Thornton Rail Bridge,0.7234,pending,
budget_paper::BUD-8D580420A0||project_timeline::TFNSW-0012,project_timeline,TFNSW-0012,Thornton bridge duplication,budget_paper,BUD-8D580420A0,Thornton Rail Bridge,0.7234,pending,
project_register::PRJ-0047||project_timeline::TFNSW-0092,project_register,PRJ-0047,Mamre Road Upgrade - Stage 2,project_timeline,TFNSW-0092,Mulgoa Road Upgrade Stage 5a & 5b,0.7213,pending,
project_register::PRJ-0054||project_timeline::TFNSW-0091,project_register,PRJ-0054,Mulgoa Road Upgrade Stage 5a & 5b,project_timeline,TFNSW-0091,Mamre Road Upgrade - Stage 2,0.7213,pending,
project_register::PRJ-0062||project_timeline::TFNSW-0073,project_register,PRJ-0062,Newcastle Link Road/Minmi Road intersection upgrade,project_timeline,TFNSW-0073,Appin Road and St Johns Road Intersection Upgrade,0.72,pending,
project_register::PRJ-0023||project_timeline::TFNSW-0084,project_register,PRJ-0023,Devonshire Road - Elizabeth Drive to Bringelly Road,project_timeline,TFNSW-0084,"Elizabeth Drive upgrade- Stage 1, Devonshire Road to Badgerys Creek",0.7193,pending,
project_register::PRJ-0025||project_timeline::TFNSW-0082,project_register,PRJ-0025,"Elizabeth Drive upgrade-Stage 1, Devonshire Road to Badgerys Creek",project_timeline,TFNSW-0082,Devonshire Road - Elizabeth Drive to Bringelly Road,0.7193,pending,
project_register::PRJ-0008||project_timeline::TFNSW-0091,project_register,PRJ-0008,Barton Highway upgrade - Stage 2,project_timeline,TFNSW-0091,Mamre Road Upgrade - Stage 2,0.7143,pending,
project_register::PRJ-0047||project_timeline::TFNSW-0026,project_register,PRJ-0047,Mamre Road Upgrade - Stage 2,project_timeline,TFNSW-0026,Barton Highway Upgrade - Stage 2,0.7143,pending,
budget_paper::BUD-55D1E30739||project_timeline::TFNSW-0113,project_timeline,TFNSW-0113,North Sydney Active Transport,budget_paper,BUD-55D1E30739,Active Transport,0.7111,pending,
project_register::PRJ-0014||project_timeline::TFNSW-0085,project_register,PRJ-0014,Cambridge Avenue upgrade,project_timeline,TFNSW-0085,Fifteenth Avenue Upgrade,0.7083,pending,
