master_project_id,match_group_id,source_record_key,source_dataset,source_project_id,source_project_name,normalised_project_name,source_agency,source_location,source_group,source_url,source_record_count,match_group_size,has_cross_source_match
MASTER-0023,GROUP-0023,budget_paper::BUD-1CA427DAF9,budget_paper,BUD-1CA427DAF9,Sydney Metro City and Southwest(b),sydney metro city and southwest b,Sydney Metro,Chatswood - Bankstown,,,3,1,False
MASTER-0024,GROUP-0024,budget_paper::BUD-1CBFC0787B,budget_paper,BUD-1CBFC0787B,Bandon Road Corridor Upgrade and Extension (Planning) (State and Federal Funded)(d),bandon road corridor upgrade and extension planning state and federal funded d,Transport for NSW,Various,Connecting Sydney Roads,,1,1,False
MASTER-0025,GROUP-0025,budget_paper::BUD-1EA45D850D,budget_paper,BUD-1EA45D850D,"King Georges Road, Stoney Creek Road to Connells Point Road - Stage 1 and 2A (State and Federal Funded)",king georges road stoney creek road to connells point road stage 1 and 2a state and federal funded,Transport for NSW,Penshurst,Connecting Sydney Roads,,1,1,False
MASTER-0026,GROUP-0026,budget_paper::BUD-1FCC4A8462,budget_paper,BUD-1FCC4A8462,"Minmi Road and Newcastle Link Road, Edgeworth",minmi road and newcastle link road edgeworth,Transport for NSW,Edgeworth,Connecting Regional NSW (Roads and Bridges),,1,1,False
MASTER-0027,GROUP-0027,budget_paper::BUD-2559AC5020,budget_paper,BUD-2559AC5020,"Great Western Highway, Medlow Bath (State and Federal Funded)",great western highway medlow bath state and federal funded,Transport for NSW,Medlow Bath,Great Western Highway and Bells Line of Road,,2,1,False
MASTER-0028,GROUP-0028,budget_paper::BUD-262FF355DB,budget_paper,BUD-262FF355DB,Western Distributor Smart Motorway (State and Federal Funded),western distributor smart motorway state and federal funded,Transport for NSW,Various,Sydney Motorways,,1,1,False
MASTER-0029,GROUP-0029,budget_paper::BUD-29068BD298,budget_paper,BUD-29068BD298,Traffic Lights at Bank Street,traffic lights at bank street,Transport for NSW,Meadowbank,Urban Roads Fund,,3,1,False
MASTER-0030,GROUP-0030,budget_paper::BUD-2BD8B456AF,budget_paper,BUD-2BD8B456AF,"Hargraves Lane and Federation St Upgrade, Gilgandra (Heavy Vehicle bypass) (State and Federal Funded)",hargraves lane and federation st upgrade gilgandra heavy vehicle bypass state and federal funded,Transport for NSW,Gilgandra,Newell Corridor,,3,1,False
MASTER-0031,GROUP-0031,budget_paper::BUD-2C6DC8B5F7,budget_paper,BUD-2C6DC8B5F7,Castlereagh Connection - Planning,castlereagh connection planning,Transport for NSW,Various,Other Major Programs,,1,1,False
MASTER-0032,GROUP-0032,budget_paper::BUD-2CEC9D2094,budget_paper,BUD-2CEC9D2094,Tolling Operations and Modernisation,tolling operations and modernisation,Transport for NSW,Various,Other Election Commitments,,1,1,False
MASTER-0033,GROUP-0033,budget_paper::BUD-2DA7F81D69,budget_paper,BUD-2DA7F81D69,Bus Transport Management System (BTMS),bus transport management system btms,Transport for NSW,Various,Other Major Programs,,1,1,False
MASTER-0034,GROUP-0034,budget_paper::BUD-2EB349B281,budget_paper,BUD-2EB349B281,Bruxner Highway Upgrades,bruxner highway upgrades,Transport for NSW,Various,Connecting Regional NSW (Roads and Bridges),,2,1,False
MASTER-0035,GROUP-0035,budget_paper::BUD-2F3E8A1DB2,budget_paper,BUD-2F3E8A1DB2,Waterfall Way Upgrade,waterfall way upgrade,Transport for NSW,Various,Connecting Regional NSW (Roads and Bridges),,3,1,False
MASTER-0036,GROUP-0036,budget_paper::BUD-2F462C0CFB,budget_paper,BUD-2F462C0CFB,Mamre Road Stage 2 - Erskine Park Road to Kerrs Road (State and Federal Funded),mamre road stage 2 erskine park road to kerrs road state and federal funded,Transport for NSW,Kemps Creek,Connecting Sydney Roads,,2,1,False
MASTER-0037,GROUP-0037,budget_paper::BUD-3029BE90AC,budget_paper,BUD-3029BE90AC,Warringah Freeway Upgrade,warringah freeway upgrade,Transport for NSW,Various,Sydney Motorways,,3,1,False
MASTER-0038,GROUP-0038,budget_paper::BUD-341A7DEC42,budget_paper,BUD-341A7DEC42,Circular Quay Precinct Renewal (Planning) (State and Federal Funded),circular quay precinct renewal planning state and federal funded,Transport for NSW,Sydney,Interchanges and Accessibility,,2,1,False
MASTER-0039,GROUP-0039,budget_paper::BUD-364246C8DD,budget_paper,BUD-364246C8DD,Western Sydney Roads (Planning) (State and Federal Funded),western sydney roads planning state and federal funded,Transport for NSW,Various,Other Major Programs,,3,1,False
MASTER-0040,GROUP-0040,budget_paper::BUD-39E1ADA860,budget_paper,BUD-39E1ADA860,Western Distributor Network Integration,western distributor network integration,Transport for NSW,Pyrmont,Other Major Programs,,1,1,False
MASTER-0041,GROUP-0041,budget_paper::BUD-3A1CC1C8D7,budget_paper,BUD-3A1CC1C8D7,"Heathcote Road, Infantry Parade, Hammondville to The Avenue, Voyager Point (State and Federal Funded)",heathcote road infantry parade hammondville to the avenue voyager point state and federal funded,Transport for NSW,Holsworthy,Connecting Sydney Roads,,2,1,False
MASTER-0042,GROUP-0042,budget_paper::BUD-3A484C60E7,budget_paper,BUD-3A484C60E7,Townson and Burdekin Road Upgrades (Planning) (State and Federal Funded),townson and burdekin road upgrades planning state and federal funded,Transport for NSW,Various,Connecting Sydney Roads,,2,1,False
MASTER-0043,GROUP-0043,budget_paper::BUD-3A635972C5,budget_paper,BUD-3A635972C5,Devonshire Road (Planning),devonshire road planning,Transport for NSW,Kemps Creek,Connecting Sydney Roads,,2,1,False
MASTER-0044,GROUP-0044,budget_paper::BUD-3AB43004E9,budget_paper,BUD-3AB43004E9,Driftway Roundabout at Londonderry,driftway roundabout at londonderry,Transport for NSW,Londonderry,Urban Roads Fund,,3,1,False
MASTER-0045,GROUP-0045,budget_paper::BUD-3B1FE785A2,budget_paper,BUD-3B1FE785A2,Sydney Metro-Western Sydney Airport-Northern extension- Business Case,sydney metro western sydney airport northern extension business case,Sydney Metro,St Marys - Tallawong,,,3,1,False
MASTER-0046,GROUP-0046,budget_paper::BUD-3CE94DF8C5,budget_paper,BUD-3CE94DF8C5,Richmond Road Corridor Upgrade (Planning) (State and Federal Funded),richmond road corridor upgrade planning state and federal funded,Transport for NSW,Various,Connecting Sydney Roads,,2,1,False
MASTER-0047,GROUP-0047,budget_paper::BUD-3DBA2152A0,budget_paper,BUD-3DBA2152A0,Pitt Town Bypass(c),pitt town bypass c,Transport for NSW,Pitt Town,Urban Roads Fund,,3,1,False
MASTER-0048,GROUP-0048,budget_paper::BUD-414C68472D,budget_paper,BUD-414C68472D,Elizabeth Drive Upgrades (State and Federal Funded)(c),elizabeth drive upgrades state and federal funded c,Transport for NSW,Various,Connecting Sydney Roads,,3,1,False
MASTER-0049,GROUP-0049,budget_paper::BUD-414CC9D7FB,budget_paper,BUD-414CC9D7FB,Other Works,other works,Transport Asset Manager/Holding Entity NSW,Various,,,1,1,False
MASTER-0050,GROUP-0050,budget_paper::BUD-426534E52A,budget_paper,BUD-426534E52A,Princes Highway Upgrade Program Corridor - Safety and Productivity Upgrades,princes highway upgrade program corridor safety and productivity upgrades,Transport for NSW,Nowra - Moruya,Princes Corridor,,3,1,False
MASTER-0051,GROUP-0051,budget_paper::BUD-43464B1FCF,budget_paper,BUD-43464B1FCF,Golden Highway Improvements,golden highway improvements,Transport for NSW,Various,Regional Roads Fund,,2,1,False
MASTER-0052,GROUP-0052,budget_paper::BUD-4448787F3E,budget_paper,BUD-4448787F3E,South West Sydney Rail Planning-Business Case (State and Federal Funded)(a),south west sydney rail planning business case state and federal funded a,Sydney Metro,Bradfield - Leppington/ Campbelltown,,,3,1,False
MASTER-0053,GROUP-0053,budget_paper::BUD-459AC1EDBE,budget_paper,BUD-459AC1EDBE,M5 Motorway - Moorebank Avenue - Hume Highway Intersection Upgrade (State and Federal Funded),m5 motorway moorebank avenue hume highway intersection upgrade state and federal funded,Transport for NSW,Moorebank,Sydney Motorways,,3,1,False
MASTER-0054,GROUP-0054,budget_paper::BUD-45FC0ADBD6,budget_paper,BUD-45FC0ADBD6,Henry Lawson Drive Upgrade Stage 1A,henry lawson drive upgrade stage 1a,Transport for NSW,Milperra,Connecting Sydney Roads,,2,1,False
MASTER-0055,GROUP-0055,budget_paper::BUD-46C8180649,budget_paper,BUD-46C8180649,Alphadale Crossroads,alphadale crossroads,Transport for NSW,Lismore,Regional Roads Fund,,3,1,False
MASTER-0056,GROUP-0056,budget_paper::BUD-47B24AD725,budget_paper,BUD-47B24AD725,Gosford Bypass (Planning and Design),gosford bypass planning and design,Transport for NSW,Gosford,Regional Roads Fund,,3,1,False
MASTER-0057,GROUP-0057,budget_paper::BUD-48D950F24B,budget_paper,BUD-48D950F24B,Parramatta Class Ferries,parramatta class ferries,Sydney Ferries,Various,,,1,1,False
MASTER-0058,GROUP-0058,budget_paper::BUD-497A5B5BF5,budget_paper,BUD-497A5B5BF5,Mariyung Fleet (New Intercity Fleet),mariyung fleet new intercity fleet,Transport Asset Manager/Holding Entity NSW,Various,,,3,1,False
MASTER-0059,GROUP-0059,budget_paper::BUD-4A83D09FAB,budget_paper,BUD-4A83D09FAB,M1 Princes Motorway Entry and Exit Ramps (State and Federal Funded)(d),m1 princes motorway entry and exit ramps state and federal funded d,Transport for NSW,Dapto,Regional Roads Fund,,2,1,False
MASTER-0060,GROUP-0060,budget_paper::BUD-4B5A1D8FEB,budget_paper,BUD-4B5A1D8FEB,Parramatta Light Rail Stage 1,parramatta light rail stage 1,Transport for NSW,Parramatta,Light Rail,,1,1,False
MASTER-0061,GROUP-0061,budget_paper::BUD-4B7AFA71DA,budget_paper,BUD-4B7AFA71DA,Duplicate Sections of Heathcote Road,duplicate sections of heathcote road,Transport for NSW,Various,Urban Roads Fund,,3,1,False
MASTER-0062,GROUP-0062,budget_paper::BUD-4BC1719981,budget_paper,BUD-4BC1719981,"Great Western Highway, Coxs River Road (State and Federal Funded)",great western highway coxs river road state and federal funded,Transport for NSW,Lithgow,Great Western Highway and Bells Line of Road,,1,1,False
MASTER-0063,GROUP-0063,budget_paper::BUD-4D8E339A7A,budget_paper,BUD-4D8E339A7A,Nelson Bay Road - Williamtown to Bobs Farm (State and Federal Funded),nelson bay road williamtown to bobs farm state and federal funded,Transport for NSW,Williamtown,Connecting Regional NSW (Roads and Bridges),,3,1,False
MASTER-0064,GROUP-0064,budget_paper::BUD-517B618087,budget_paper,BUD-517B618087,Speers Point Intersection(d),speers point intersection d,Transport for NSW,Lake Macquarie,Regional Roads Fund,,3,1,False
MASTER-0065,GROUP-0065,budget_paper::BUD-51F7A09AF8,budget_paper,BUD-51F7A09AF8,South West Sydney Roads (Planning) (State and Federal Funded),south west sydney roads planning state and federal funded,Transport for NSW,Various,Other Major Programs,,3,1,False
MASTER-0066,GROUP-0066,budget_paper::BUD-5385E893C1,budget_paper,BUD-5385E893C1,Picton Road Upgrade (Planning) (State and Federal Funded),picton road upgrade planning state and federal funded,Transport for NSW,Picton,Other Major Programs,,3,1,False
MASTER-0067,GROUP-0067,budget_paper::BUD-55D1E30739,budget_paper,BUD-55D1E30739,Active Transport,active transport,Transport for NSW,Various,Other Major Programs,,3,1,False
MASTER-0068,GROUP-0068,budget_paper::BUD-5A075AA97B,budget_paper,BUD-5A075AA97B,"Pacific Highway - Harrington Road Intersection Upgrade, Coopernook (State and Federal Funded)",pacific highway harrington road intersection upgrade coopernook state and federal funded,Transport for NSW,Coopernook,Pacific Corridor,,2,1,False
MASTER-0069,GROUP-0069,budget_paper::BUD-5B36F2211F,budget_paper,BUD-5B36F2211F,"Hillsborough Road, Warners Bay to Charlestown (Stage 1)(e)",hillsborough road warners bay to charlestown stage 1 e,Transport for NSW,Warners Bay,Connecting Regional NSW (Roads and Bridges),,3,1,False
MASTER-0070,GROUP-0070,budget_paper::BUD-5D4D5C4FC7,budget_paper,BUD-5D4D5C4FC7,"Central Coast Highway, Tumbi Road Intersection Upgrade (State and Federal Funded)",central coast highway tumbi road intersection upgrade state and federal funded,Transport for NSW,Wamberal - Bateau Bay,Connecting Central Coast Roads,,3,1,False
MASTER-0071,GROUP-0071,budget_paper::BUD-5D97035C08,budget_paper,BUD-5D97035C08,"New England Highway, Singleton Bypass (State and Federal Funded)",new england highway singleton bypass state and federal funded,Transport for NSW,Singleton,New England Corridor,,3,1,False
MASTER-0072,GROUP-0072,budget_paper::BUD-5F3B10D75B,budget_paper,BUD-5F3B10D75B,Tuross Head Intersection,tuross head intersection,Transport for NSW,Tuross Head,Regional Roads Fund,,3,1,False
MASTER-0073,GROUP-0073,budget_paper::BUD-615FC9F19D,budget_paper,BUD-615FC9F19D,Pinch Points and Clearways (State and Federal Funded),pinch points and clearways state and federal funded,Transport for NSW,Various,Easing Sydney's Congestion,,1,1,False
MASTER-0074,GROUP-0074,budget_paper::BUD-628937EF8A,budget_paper,BUD-628937EF8A,Wallerawang Train Station Reactivation,wallerawang train station reactivation,Transport for NSW,Wallerawang,Other Major Programs,,2,1,False
MASTER-0075,GROUP-0075,budget_paper::BUD-642E91727A,budget_paper,BUD-642E91727A,Mount Ousley Interchange (State and Federal Funded),mount ousley interchange state and federal funded,Transport for NSW,Mount Ousley,Princes Corridor,,3,1,False
MASTER-0076,GROUP-0076,budget_paper::BUD-649E2B8DEE,budget_paper,BUD-649E2B8DEE,Resurface Canterbury Road,resurface canterbury road,Transport for NSW,Various,Urban Roads Fund,,1,1,False
MASTER-0077,GROUP-0077,budget_paper::BUD-669FBFF62A,budget_paper,BUD-669FBFF62A,Sydney Metro-Western Sydney Airport (State and Federal Funded)(c),sydney metro western sydney airport state and federal funded c,Sydney Metro,St Marys - Bringelly,,,3,1,False
MASTER-0078,GROUP-0078,budget_paper::BUD-678784DB1D,budget_paper,BUD-678784DB1D,Western Harbour Tunnel,western harbour tunnel,Transport for NSW,Various,Sydney Motorways,,3,1,False
MASTER-0079,GROUP-0079,budget_paper::BUD-685DFD23F2,budget_paper,BUD-685DFD23F2,Windsor Road Upgrade at Rouse Hill (State and Federal Funded),windsor road upgrade at rouse hill state and federal funded,Transport for NSW,Rouse Hill,Other Major Programs,,1,1,False
MASTER-0080,GROUP-0080,budget_paper::BUD-688B325B42,budget_paper,BUD-688B325B42,Rail Service Improvement Program,rail service improvement program,Transport Asset Manager/Holding Entity NSW,Various,,,3,1,False
MASTER-0081,GROUP-0081,budget_paper::BUD-690F3C380A,budget_paper,BUD-690F3C380A,Community Commitments - Road and Transport,community commitments road and transport,Transport for NSW,Various,Other Election Commitments,,1,1,False
MASTER-0082,GROUP-0082,budget_paper::BUD-6A19BAC2D9,budget_paper,BUD-6A19BAC2D9,Great Western Highway Detour Resilience Work,great western highway detour resilience work,Transport for NSW,Blue Mountains,Great Western Highway and Bells Line of Road,,1,1,False
MASTER-0083,GROUP-0083,budget_paper::BUD-6D566BBA6B,budget_paper,BUD-6D566BBA6B,Mandalong Road Upgrade (State and Federal Funded),mandalong road upgrade state and federal funded,Transport for NSW,Morisset,Connecting Regional NSW (Roads and Bridges),,3,1,False
MASTER-0084,GROUP-0084,budget_paper::BUD-6E640330C0,budget_paper,BUD-6E640330C0,Narooma Bridge (Planning) (State and Federal Funded),narooma bridge planning state and federal funded,Transport for NSW,Narooma,Princes Corridor,,2,1,False
MASTER-0085,GROUP-0085,budget_paper::BUD-6F2F434C09,budget_paper,BUD-6F2F434C09,Mulgoa Road Stage 1 - Blaikie Road to M4 Motorway (State and Federal Funded)(c),mulgoa road stage 1 blaikie road to m4 motorway state and federal funded c,Transport for NSW,Jamisontown,Connecting Sydney Roads,,2,1,False
MASTER-0086,GROUP-0086,budget_paper::BUD-6F639863F3,budget_paper,BUD-6F639863F3,Coffs Harbour Bypass (State and Federal Funded),coffs harbour bypass state and federal funded,Transport for NSW,Coffs Harbour,Pacific Corridor,,3,1,False
MASTER-0087,GROUP-0087,budget_paper::BUD-711DBFA778,budget_paper,BUD-711DBFA778,"Mona Vale Road, McCarrs Creek Road To Powder Works Road",mona vale road mccarrs creek road to powder works road,Transport for NSW,Various,Connecting Sydney Roads,,1,1,False
MASTER-0088,GROUP-0088,budget_paper::BUD-72C4A32358,budget_paper,BUD-72C4A32358,Return Freshwater Class Ferries to Circular Quay-Manly,return freshwater class ferries to circular quay manly,Sydney Ferries,Various,,,2,1,False
MASTER-0089,GROUP-0089,budget_paper::BUD-72D6664ACC,budget_paper,BUD-72D6664ACC,Garfield Road East (State and Federal Funded)(c),garfield road east state and federal funded c,Transport for NSW,Riverstone,Connecting Sydney Roads,,2,1,False
MASTER-0090,GROUP-0090,budget_paper::BUD-7331A99D57,budget_paper,BUD-7331A99D57,Hawkesbury Nepean Valley Flood Evacuation Road Resilience - Planning (State and Federal Funded),hawkesbury nepean valley flood evacuation road resilience planning state and federal funded,Transport for NSW,Various,Other Major Programs,,1,1,False
MASTER-0091,GROUP-0091,budget_paper::BUD-73D082597D,budget_paper,BUD-73D082597D,Upgrade Garfield Road East (State and Federal Funded)(f),upgrade garfield road east state and federal funded f,Transport for NSW,Riverstone,Connecting Sydney Roads,,1,1,False
MASTER-0092,GROUP-0092,budget_paper::BUD-76005766AE,budget_paper,BUD-76005766AE,Picton Bypass (Planning) (State and Federal Funded),picton bypass planning state and federal funded,Transport for NSW,Picton,Connecting Sydney Roads,,3,1,False
MASTER-0093,GROUP-0093,budget_paper::BUD-7988CE2B43,budget_paper,BUD-7988CE2B43,"The Horsley Drive, M7 Motorway to Cowpasture Road (State and Federal Funded)",the horsley drive m7 motorway to cowpasture road state and federal funded,Transport for NSW,Horsley Park,Connecting Sydney Roads,,3,1,False
MASTER-0094,GROUP-0094,budget_paper::BUD-7A37BF52FD,budget_paper,BUD-7A37BF52FD,"Pacific Motorway, Extension to Raymond Terrace (State and Federal Funded)",pacific motorway extension to raymond terrace state and federal funded,Transport for NSW,Hexham,Connecting Hunter Roads,,3,1,False
MASTER-0095,GROUP-0095,budget_paper::BUD-7A6B8C0F3B,budget_paper,BUD-7A6B8C0F3B,Sydney Coordinated Adaptive Traffic System (SCATS) Customer Improvement Program,sydney coordinated adaptive traffic system scats customer improvement program,Transport for NSW,Various,Easing Sydney's Congestion,,1,1,False
MASTER-0096,GROUP-0096,budget_paper::BUD-7B9FD9B846,budget_paper,BUD-7B9FD9B846,Princes Highway Corridor (NSW) - Jervis Bay Road Intersection (State and Federal Funded),princes highway corridor nsw jervis bay road intersection state and federal funded,Transport for NSW,Jervis Bay,Princes Corridor,,3,1,False
MASTER-0097,GROUP-0097,budget_paper::BUD-7C25E09D3F,budget_paper,BUD-7C25E09D3F,Upgrade of Bandon Road (Planning) (State and Federal Funded)(f),upgrade of bandon road planning state and federal funded f,Transport for NSW,Various,Connecting Sydney Roads,,1,1,False
MASTER-0098,GROUP-0098,budget_paper::BUD-7CD033B2CE,budget_paper,BUD-7CD033B2CE,Spring Farm Parkway Stage 1,spring farm parkway stage 1,Transport for NSW,Menangle Park,Connecting Sydney Roads,,1,1,False
MASTER-0099,GROUP-0099,budget_paper::BUD-7D2A013AD4,budget_paper,BUD-7D2A013AD4,Newell Highway Narrabri to Moree Heavy Duty Pavements (State and Federal Funded),newell highway narrabri to moree heavy duty pavements state and federal funded,Transport for NSW,Narrabri – Moree,Newell Corridor,,2,1,False
MASTER-0100,GROUP-0100,budget_paper::BUD-7FF3EA741A,budget_paper,BUD-7FF3EA741A,Yass Road-Bungendore Road- Ellerton Drive Intersection,yass road bungendore road ellerton drive intersection,Transport for NSW,Queanbeyan,Regional Roads Fund,,2,1,False
MASTER-0101,GROUP-0101,budget_paper::BUD-808CD55D38,budget_paper,BUD-808CD55D38,Parramatta Light Rail Stage 2,parramatta light rail stage 2,Transport for NSW,Parramatta,Light Rail,,3,1,False
MASTER-0102,GROUP-0102,budget_paper::BUD-80E896BC80,budget_paper,BUD-80E896BC80,Barton Highway Improvements (State and Federal Funded),barton highway improvements state and federal funded,Transport for NSW,Goulburn,Connecting Regional NSW (Roads and Bridges),,3,1,False
MASTER-0103,GROUP-0103,budget_paper::BUD-82A62F45E8,budget_paper,BUD-82A62F45E8,"Safe, Accessible Transport Program",safe accessible transport program,Transport Asset Manager/Holding Entity NSW,Various,,,3,1,False
MASTER-0104,GROUP-0104,budget_paper::BUD-82E6706A7A,budget_paper,BUD-82E6706A7A,New Electric Bus Program,new electric bus program,Transport for NSW,Various,Other Major Programs,,1,2,True
MASTER-0104,GROUP-0104,project_register::PRJ-0060,project_register,PRJ-0060,New Electric Bus Program,new electric bus program,,,Pipeline,https://www.transport.nsw.gov.au/projects/current-projects/zero-emission-buses,1,2,True
MASTER-0105,GROUP-0105,budget_paper::BUD-8457D20AEE,budget_paper,BUD-8457D20AEE,Terrigal Drive Upgrade (Federal Funded),terrigal drive upgrade federal funded,Transport for NSW,Terrigal,Connecting Central Coast Roads,,2,1,False
MASTER-0106,GROUP-0106,budget_paper::BUD-851F6E1FF5,budget_paper,BUD-851F6E1FF5,Sydney Fish Markets Ferry Stop,sydney fish markets ferry stop,Transport for NSW,Pyrmont,Other Major Programs,,2,1,False
MASTER-0107,GROUP-0107,budget_paper::BUD-85A55BA206,budget_paper,BUD-85A55BA206,Old Windsor Road (Planning) (Federal Funded),old windsor road planning federal funded,Transport for NSW,Various,Other Major Programs,,1,1,False
